faust_number,isbn,book_title,book_author
47714176,,Om udregning af rumfang. Bind 1,Solvej Balle
62038535,,Det regner med mænd,Jenny Colgan (f. 1972)
38628593,,Farskibet,Glenn Bech (f. 1991-04-08)
62912588,9788728358528,Naja Münster -  På en øde ø,
54993099,9788740052497,De hængte hunde,Jens Henrik Jensen (f. 1963)
54651082,,Nulpunkt,"Jørn Lier Horst,Thomas Enger"
51067967,9788702162936,Jeg er William,Kim Fupz Aakeson
47810604,,Sidste tog til London,Meg Waite Clayton
47929725,,Tjenerindens døtre,Elsebeth Dissing
38941771,,Jalousimanden og andre fortællinger,Jo Nesbø
38527118,9788702324136,Wimpy Kid. Bog 2,Jeff Kinney
61989838,,Den barmhjertige samaritaner,"Cilla Börjlind,Rolf Börjlind"
47848148,,Farvel søster,Lars Kjædegaard
39392917,,Når alt kommer for en dag,Katrine Wessel
50795934,,Ib i en sø,Kirsten Ahlburg
51165764,9788702166811,Vitello bliver forretningsmand,Kim Fupz Aakeson
38916912,,Familie for begyndere,Sarah Morgan (f. 1948)
62887303,,Sorthuset,Peter May (f. 1951)
61816097,,Hvis man ikke vidste bedre,Lotte Kirkeby
47000629,9788723542038,Fodboldhelte,Daniel Zimakoff
51309081,,Ib og to ål,Kirsten Ahlburg
47559634,,Kvalitative metoder,
46980247,9788758837130,Kaninmanden,Michael Kamp (f. 1974)
28480636,9788711301166,Den som blinker er bange for døden,Knud Romer
62380675,,Vingården for vilde drømme,Caroline Säfstrand (f. 1972)
48198422,,Velkommen til Flanagans,Åsa Hellberg
46417852,,Totte og Lotte leger ude,Gunilla Wolde
50729435,,Pi og Jo,Randi Solvang
38647954,,I medgang og modgang,Lucy Dillon
62609214,,Sanglærkens hemmelighed,Fiona Valpy
46062876,,Mig & mini - strik,Lene Holme Samsøe
47945879,,Bargums synder,Sofie Malmborg (f. 1991)
61745262,,Alene i mørket,Trude Teige
50910261,9788763832670,Antboy - tissemyrens bid,Kenneth Bøgh Andersen
54220243,,Havets børn,Anna Ekberg
48147798,,Erna og rumæneren,Erling Jepsen (f. 1956)
54219423,,Kroppen - rim og mirakler,Marianne Iben Hansen
39555182,9788770306928,Atomvaner,James Clear
48787525,,Gurli Gris på mudderfestival,
39262282,,Ellinors modige valg,Katrine Wessel
134968753,,Så mange liv,Elsebeth Egholm
38323377,,Gurli Gris på togtur,
51359712,,Villads fra Valby laver en film - og andre godnathistorier,Anne Sofie Hammer (f. 1972-02-05)
47112435,,Bæst,Ane Riel
46960157,,Sprogheksen,Maria Rørbæk
61420614,,De glemte børns bog,Kristin Harmel (f. 1979)
48667236,,Drengen fra skoven,Harlan Coben
53032710,9788771075007,Bag lukkede døre,B. A. Paris
29302731,9788702125092,Otto er et næsehorn,Ole Lund Kirkegaard
46575563,,Det ender med os,Colleen Hoover
52519799,9788711672402,Den blå digters kone,Lone Theils
52588677,,Skyggezone,Arne Dahl (f. 1963)
38527088,9788702324143,Wimpy Kid. Del 3,Jeff Kinney
134155108,,Safari fra helvede,Tom Buk-Swienty
53322743,9788711668016,Ravnenes hvisken. Bog 1,Malene Sølvsten
29769427,,Pi er 100 år,Randi Solvang
61985867,,Under sneen,Yrsa Sigurðardóttir
46417887,,Totte og Lotte leger inde,Gunilla Wolde
61785582,,Manden der døde to gange,Richard Osman
28903472,,Grønt støv,Sara Blædel
46519663,,Turen går til centrale Tyskland,Jytte Flamsholt Christensen
53826571,9788702083163,Gummi-Tarzan,Ole Lund Kirkegaard
39211025,9788726958720,Den sidste boghandel i London,Madeline Martin
47640938,,Den magiske sommer,Sara Ejersbo
52372860,9788711519974,Forbandede kærlighed,Colleen Hoover
47582881,9788726268331,Disneys godnathistorier,
52652421,,Papmaché-reglen,Hella Joof
54643144,,I dine øjne,Malene Ravn (f. 1971)
46835468,,Mester Jakob,Emelie Schepp (f. 1979)
28446616,,Vitello skal have en papfar,Kim Fupz Aakeson
38950606,,Vores kort over kærligheden,Isabelle Broom (f. 1979)
46051815,,"Se mor, jeg danser",Puk Elgård
62525762,,Eddie går hjem fra børnehave,Thomas Brunstrøm
135796778,,Sår,"Sara Blædel,Mads Peder Nordbo"
28487711,9788702103656,Historier og sange fra Folk og røvere i Kardemomme By,Thorbjørn Egner
47848113,,Den lukkede kiste,Lars Kjædegaard
38621262,,Hundeungerne,"Pernille Plaetner,Marianne Schjøtt Rohweder"
48219683,,Turen går til Berlin,Michelle Arrouas
48195008,,Felicia forsvandt,Jørn Lier Horst
53826377,9788702249101,Mugge & vejfesten,
39457431,,Sommerfugleæsken,Santa Montefiore
54863764,,Klassens dronning,Sara Ejersbo
39517345,,Så tog jeg hjem,Karin Smirnoff (f. 1964)
45943763,,Hotellet ved Skyggesøen,Daniela Tully
47840716,,Mysteriet Amy Snow,Tracy Rees
28480989,9788702073447,Pippi er den stærkeste i verden,Astrid Lindgren
47183049,9788726315721,Kommissæren,Ove Pedersen (f. 1954-08-22)
39101459,,Stjernernes knitren,Jón Kalman Stefánsson
51044967,,Ib i en by,Kirsten Ahlburg
29523606,,Søg og find hjemme hos Peddersen og Findus,
47493455,9788726353310,Disneys julekalender,
51712153,9788740023350,Alt det lys vi ikke ser,Anthony Doerr
54961782,,Syndebukken,Sofie Sarenbrant
46790448,,Min mands elskerinde,Sara Linderoth Bouchet (f. 1980)
48921604,9788758841830,Kæmp som en pige,Michael Kamp (f. 1974)
38323326,,Gurli Gris' nye ven,
38549243,,Anti-inflammatorisk topform på 4 uger,"Martin Kreutzer,Simon Weisdorf"
62493097,,Under magnoliatræerne,T. I. Lowe (f. 1976)
47223768,,Faldende masker,Dennis Jürgensen
53934676,,Heksedrengen,Lone Theils
47917026,,Ond vilje,Jørn Lier Horst
27900070,9788702051872,Han er her endnu - Emil fra Lønneberg,Astrid Lindgren
38765078,,Veganeren,Inger Gammelgaard Madsen
53875033,,Nevermoor - Morrigan Crows magiske prøvelser,Jessica Townsend
52643341,9788763849234,Kaskelotternes sang,Bent Haller
47560802,9788758838779,Simbas farlige rejse,Michael Kamp (f. 1974)
05126541,,"Godnat, Alfons Åberg",Gunilla Bergström (f. 1942)
54984499,,Alfabet-atlet,Lotte Salling
48681921,,Tredive dages mørke,Jenny Lund Madsen
46257243,,Hvor lyset slipper ind,Lucy Dillon
27900097,9788702051865,Mere om Emil fra Lønneberg,Astrid Lindgren
62580631,,Himmelstormere,Maggie Shipstead
62673087,,Mørket ved besked,Arnaldur Indriðason
54161239,,Sherif,Lars Kjædegaard
48203213,,Når havet stilner,Jørn Lier Horst
53357180,,Heksen,Camilla Läckberg
50524612,,Villads fra Valby får et brev,Anne Sofie Hammer (f. 1972-02-05)
50729567,,"Pi, Jo og Bø",Randi Solvang
47865336,,Det der ligger gemt i sneen,Carin Gerhardsen
46601955,,Gurli Gris elsker,
46299612,,Knust,Anne Mette Kirk
61371079,,Stormvagt,Kristina Ohlsson
51978978,,Efter dig,Jojo Moyes
50526895,,Villads fra Valby vasker en baby,Anne Sofie Hammer (f. 1972-02-05)
38666991,,Wimpy Kid. Bind 15,Jeff Kinney
61509119,,Blondinens betragtninger,Helle Thorning-Schmidt
48397123,9788726463460,Den sommer alting ændrede sig,Jenny Han
38454439,9788726696066,Godnathistorier. 12,
48287786,9788740060492,Tabita,Iben Mondrup
38821822,,Naja Münster - ballet og ballade på slottet,Line Kyed Knudsen
47045673,,Sensommerjagt,Anders De la Motte
54933991,9788763860864,Villads fra Valby skyder året i gang,Anne Sofie Hammer (f. 1972-02-05)
52272270,9788702178654,Troldmandens nevø,C. S. Lewis
46972244,,Led ikke efter mig,Harlan Coben
48709362,,Jordens salt,Jeanine Cummins
61858431,9788793716544,ADHD hos piger og kvinder,Lotta Borg Skoglund
48195997,,Jytte vender tilbage,Morten Sehested Münster (f. 1980)
54379161,,Den uventede arv,Liz Fenwick
54709161,,Gurli Gris - min far,
135153869,9788728566220,Sallys far gider ikke være voksen,Thomas Brunstrøm
54884451,9788740052824,12 regler for livet,Jordan B. Peterson
46139003,,Sorger,Inger Wolf
51197992,9788740008432,Iqbal Farooq på Bornholm,Manu Sareen
62932635,,Den glemte pige,Karin Slaughter
134360399,,Sjælevennen,Sofie Sarenbrant
53199615,,Den du elsker,Mari Jungstedt
51550048,9788711457023,Dræb ikke en sangfugl,Harper Lee
48432859,,Jeg tog ned til bror,Karin Smirnoff (f. 1964)
48643159,,Anker i badetøjet,Alberte Winding
62334789,9788702361056,Det år sjæle slår smut,"Jesper Wung-Sung,Morten Ellemose"
52648408,9788711680308,Djævelen i hullet,Leif Davidsen
54035071,9788711956151,Heksedrengen,Lone Theils
47283698,,"Kan du ingenting, Peddersen?",Sven Nordqvist
28257996,9788711438794,Pans hemmelighed,Michael Katz Krefeld
47253535,,"Ingen venner, hvad nu?",StineStregen
46365364,,Mira på lejrskole,Sabine Lemire
46929519,9788723541482,Drabelige dyr,Line Friis Frederiksen
48612598,9788726015126,Uldheksen ... og andre fortællinger,Kim Fupz Aakeson
51398505,9788702175240,Dødsspillet,Suzanne Collins
39091984,,Urværk,Ane Riel
48884997,,Casper,Martin Kongstad
53580327,,Liebhaverne,Anne B. Ragde
53851592,9788702150780,Anton og Arnold - to frække drenge,Ole Lund Kirkegaard
38558595,,Byen ved Volga,"Lotte Hammer,Søren Hammer"
54197675,,Alt eller intet,Simona Ahrnstedt
46758765,9788726025453,En af os lyver,Karen M. McManus
46297512,,Gadepræsten,Inger Gammelgaard Madsen
61479392,,Livsstil er en livsstil,Anders Matthesen
48220657,9788740063134,Geggo,Stephanie Karma (f. 1990-04-14)
48120067,,Min mørke Vanessa,Kate Elizabeth Russell
62525479,,Vi begynder med slutningen,Chris Whitaker
38779346,,Ingen udvej,Cara Hunter
134109084,,Bloddue,Dennis Jürgensen
53508073,,Blækhat,Sissel-Jo Gazan
51563808,,Flunkerne går på museum,"Joaquín Cera,Juan Carlos Ramis"
46212967,9788711840580,Båven om Gud,Hella Joof
47993962,,Mørkt motiv,Louise Penny
47344301,,Nicklas Bendtner - begge sider,Rune Skyum-Nielsen
38649051,9788740070330,Kvindefantasier,Elisa Lykke
48197795,,Den eneste ene,Jørn Lier Horst
52600154,,Det lille bageri på strandpromenaden,Jenny Colgan (f. 1972)
38457705,9788775491209,Sådan spiller du Roblox,Anne-Sofie Duch Teglgaard
47140986,,Grydeklar,
53999905,9788702243635,Jytte fra Marketing er desværre gået for i dag,Morten Sehested Münster (f. 1980)
38814524,,Mellem djævelen og havet,Maria Adolfsson
29088918,9788711409060,Uhyrernes hav,Rick Riordan
29037892,9788711407424,Sallies historier,Kim Fupz Aakeson
61370862,,Villa Måneskin,Veronica Henry
48712436,,Om de fleste og det meste,Lars Løkke Rasmussen
52090164,9788711323342,Offer uden ansigt,Stefan Ahnhem
47053641,9788702286694,RobinSamse - fanget i computeren,Kim Langer
39085283,,Solskin og parmesan,Christoffer Holst (f. 1990)
48140327,,Pippi holder fødselsdag,Astrid Lindgren
45970272,,De nærmeste,Lotte Kirkeby Hansen
61508538,,Øst for Paradis,Ulla Terkelsen
55129576,9788702271478,Klassens dronning,Sara Ejersbo
62593016,,En skidt knægt,Henning Jensen (f. 1943-01-05)
53025056,,Axel elsker biler,Marianne Iben Hansen
53448054,,Nomertræets helte,Jan Kjær (f. 1971)
48268773,,Mørkt bedrag,Colleen Hoover
52668891,,Den magiske nom,Jan Kjær (f. 1971)
50957802,,Min geniale veninde,Elena Ferrante
61572066,,Tøbrud,Arne Dahl (f. 1963)
53562590,,De voksnes rækker,Anna Grue
53053149,,Har døden taget noget fra dig så giv det tilbage,Naja Marie Aidt
38748378,,Sølvtøj og sød musik,Ewa Klingberg
05450446,,Klatremus og de andre dyr i Hakkebakkeskoven,Thorbjørn Egner
135327336,,Dit helbreds bedste ven - immunsystemet,Bente Klarlund Pedersen
51619838,,Pi er en bi,Randi Solvang
47848164,,De menneskelige rester,Lars Kjædegaard
52169615,,Kaptajn underhyler og den sensationelle saga om Svend Stinkesnot,Dav Pilkey
54982046,9788726094367,Carlsens godnathistorier,
135631086,,Lygtemændene,Elly Griffiths
38226789,,Er mor død,Vigdis Hjorth
53340881,,De ualmindelige - den bøjede mønt,Jennifer Bell
135900133,,City,Jesper Stein
61352503,,"Ting, jeg har lært, da det var for sent",Petra Nagel
39071681,,Sag 1569,Jørn Lier Horst
46860071,,Cold case - forsvundet,Tina Frennstedt
50988090,9788793005624,Forbrydelse og straf,F. M. Dostojevskij
47748607,9788702294286,Den magiske sommer,Sara Ejersbo
54464525,9788711964965,Pas på hvad du ønsker dig,Jeffrey Archer
39101467,,Tedyrkerens hustru,Dinah Jefferies
51792181,9788711465363,Karmaboy - kometen og den onde numsekløe,Jacob Riising
46221494,,Og så var hun væk,Lisa Jewell
54054467,,de,Helle Helle
47137268,,Tandsamleren,Lotte Petri
39617544,,Knitting for Olive,"Pernille Larsen (f. 1962),Caroline Larsen (f. 1990)"
62904658,,Kærlig hilsen fra London,Sarah Jio
62122684,,Som man sår,"Michael Hjorth (f. 1963-05-13),Hans Rosenfeldt"
47312485,9788726308082,Peter Pedal planter et træ,"Margret Rey,H. A. Rey"
48739792,9788702300154,Yngre med årene,Bente Klarlund Pedersen
46519736,,Turen går til Sydtyskland,Jytte Flamsholt Christensen
29592438,,Hvem griner sidst? sagde Alfons Aabergs far,Gunilla Bergström (f. 1942)
47200253,,Fucked,Anne Linnet
52559316,,Selfies,Jussi Adler-Olsen
51803426,9788771748932,De 5 på nye eventyr,Enid Blyton
48077714,9788711983522,Naja Münster - det store snemonster,Line Kyed Knudsen
53970133,9788763849265,Villads fra Valby køber slik,Anne Sofie Hammer (f. 1972-02-05)
46283899,,I al hemmelighed,Linda Castillo
55144478,9788772008547,Bubbi i vildmarken,"Morten Münster (f. 1997),Merlin P. Mann"
52037719,,Planen,Morten Pape (f. 1986)
54154313,,Bjørnen,Katrine Marie Guldager
50690652,9788711355350,Afsporet,Michael Katz Krefeld
38341154,9788702299014,Kaptajnen og Ann Barbara,Ida Jessen (f. 1964)
46997301,,Djævelens datter,Lisa Kleypas
54570627,9788711956410,Sæt kursen,Louise Fredbo-Nielsen
48039006,9788726146325,Men der kommer en time,Jeffrey Archer
51838343,9788711333501,Slagteren i Liseleje,Ane Riel
29302936,9788702125085,Orla Frø-Snapper,Ole Lund Kirkegaard
48330673,,I frit fald,Heléne Holmström (f. 1984)
39270552,,Naja Münster - kaos på campingpladsen,Line Kyed Knudsen
61920234,,Det sidste søm,Stefan Ahnhem
38720198,9788726783544,De usynlige,Lone Theils
39499843,,En uimodståelig fristelse,Julia Quinn (f. 1970)
53511376,,Det ensomme hjerte,Tom Buk-Swienty
38628445,,Låst,Anne Mette Kirk
52547032,,De frosne flammer,Jens Henrik Jensen (f. 1963)
22052179,,"Muldvarpen, der ville vide, hvem der havde lavet lort på dens hoved",
46504038,,Ny krop på 4 uger,Michelle Kristensen
46778669,,Den dag Leopold blev - misundelig,
38599844,,Huset,Anna Elisabeth Jessen
62994991,,Falske sandheder i livet,Morten Albæk
52190916,,Den lille bog om store følelser,Ina Victoria Haller
52629748,,Tom Gates - min geniale verden,Liz Pichon
27354394,9788702048940,Det gyldne kompas,Philip Pullman
26116309,,Cykelmyggen Egon,Flemming Quist Møller
52405637,,Den blå digters kone,Lone Theils
62414049,,Fortabt,Linda Castillo
62017627,,Ild og dybt vand,"Camilla Grebe,Åsa Träff"
54175078,,Gemmesteder,Katherine Webb (f. 1977)
54975082,9788726084306,Mægtigere end sværdet,Jeffrey Archer
38621475,,Datter savnet,Anna Jansson
50639878,,Og sådan blev det,Maren Uthaug
61510362,,Skak under vulkanen,Håkan Nesser
39101483,,Dagmar & Johannes,Pernille Juhl (f. 1963)
48711766,9788702314052,Alt på spil,Søren Jessen (f. 1963)
52911192,,Kærlighed på pinde,Lene Holme Samsøe
38821792,,Hærdet,René Dahl Andersen (f. 1972)
52557186,,Toner i natten,Jojo Moyes
61352473,,Sommeren på Oaktree Manor,Katrine Wessel
134540125,,Skammen,Annie Ernaux
53045650,,Tørst,Jo Nesbø
51735749,,Pippi går i butikker,Astrid Lindgren
50926249,9788711344644,21 måder at dø,Sarah Engell
52666554,,Karensminde,Iben Mondrup
62743492,,Sommer på slottet,Jennifer Bohnet
38690108,,Ni liv,Emelie Schepp (f. 1979)
53515975,,Star Girl - koncert eller kirsebær,Nicole Boyle Rødtnes
54871910,,Harry Potter og de vises sten,Joanne K. Rowling
62246944,,Blæst,Anne Mette Kirk
53826504,9788702164626,Vitello køber en vidunderlig julegave,Kim Fupz Aakeson
39508389,9788702324341,Wimpy Kid. 4,Jeff Kinney
47001234,,Viking,Jeanette Varberg
53310583,9788711757345,Godnathistorier. 2,
47253284,,En sommer i Italien,Sue Moorcroft
39519607,,Som en langsom ild,Paula Hawkins
53332692,,Jeg finder dig altid,Elsebeth Egholm
53429017,,De 100 mest fantastiske fortidsdyr,Sebastian Klein
48543294,9788702297126,Vitello rejser på charterferie,Kim Fupz Aakeson
48951996,9788711918906,Sallys far har mandeinfluenza,Thomas Brunstrøm
54937164,9788702261868,RobinSamse og rejsen til Jordens indre,Kim Langer
47169542,,Strik hver dag,Susie Haumann
39098407,9788726805024,Man skulle nok have været der,Thomas Korsgaard (f. 1995)
54998287,,En højere retfærdighed,"Michael Hjorth (f. 1963-05-13),Hans Rosenfeldt"
48543456,,Datterens fortælling,Armando Lucas Correa
27355242,9788790100698,Balladen om den forsvundne mumie,Dennis Jürgensen
28942419,9788711406144,Min kamp. 1,Karl Ove Knausgård
50740803,9788711340479,Prop & Berta,Bent Solhof
28394438,,Vildheks. Bind 1,Lene Kaaberbøl
39471515,,Hellere halvgammel end helt død,Ulf Pilgaard
61379614,,Korsveje,Jonathan Franzen
52064953,,Ib i en kø,Kirsten Ahlburg
52973899,,Det forbudte barn,Katherine Webb (f. 1977)
61545883,,Familiebånd,Katrine Wessel
46908899,,Mordet på en havfrue,"Thomas Rydahl,A. J. Kazinski"
53576303,9788711845127,En velbevaret hemmelighed,Jeffrey Archer
51166469,9788702166842,Vitello får en klam kæreste,Kim Fupz Aakeson
48636624,,Sekten der genopstod,Mariette Lindstein (f. 1958)
51069609,,Betty elsker mor,Alberte Winding
47572479,,Mission sund mad,Michelle Kristensen
48848451,,Gode naboer,Mattias Edvardsson (f. 1977)
51722345,,Karmaboy - kometen og den onde numsekløe,Jacob Riising
47517796,,Den der banker på,Kristina Ohlsson
62660864,,Jordsug,Tove Alsterdal
54075790,9788712057000,Pigen under jorden,Elly Griffiths
53075223,,Abelone på Bangsbo,Bent Haller
46633857,,Et fængslende møde,Liane Moriarty
53365744,9788711757901,Faderens synder,Jeffrey Archer
53431682,,Syv sommerdage,Marcia Willett
53092497,,Kærlighed for voksne,Anna Ekberg
50696456,9788711372913,Dukkebarnet,Inger Gammelgaard Madsen
53618863,,Bubbi - den talende hund,"Morten Münster (f. 1997),Merlin P. Mann"
29613435,,Villads fra Valby holder jul,Anne Sofie Hammer (f. 1972-02-05)
38927892,9788702302561,Vitello går vildt meget i skole,Kim Fupz Aakeson
51234316,9788758817972,Løbende tjener,Dennis Jürgensen
54480040,,Midtvand,Arne Dahl (f. 1963)
46999819,9788723541529,E-sport,Thomas Bense
47171989,,Elsk afgrunden,Peter Ingemann (f. 1973)
54052391,,Byens spor. Bind 1,Lars Saabye Christensen (f. 1953)
62511664,,Sommeren ved havet,Veronica Henry
39266199,,Den sidste årsfest,Liane Moriarty
51689089,9788702170665,"Mio, min Mio",Astrid Lindgren
54627823,9788711960547,Disneys Løvernes konge,
54203594,,De magiske møgunger,Neil Patrick Harris
48622348,,Tritonus,Kjell Westö
51648870,9788711441565,21 måder at dø,Sarah Engell
51770137,9788771592160,After. Del 1,Anna Todd
54872860,,Dem der dræber drømme sover aldrig,Jan Guillou
54390122,,Manden der ikke ringede,Rosie Walsh
51689445,,Flunkerne i Romerriget,"Joaquín Cera,Juan Carlos Ramis"
38660608,,Rosarium,Charlotte Weitze
51197704,9788740009835,Uro,Jesper Stein
38600494,,Grundvold,Rachel Röst
47201918,,Roblox - hvor er noob'en?,Craig Jelley
51709780,,Svøm med dem som drukner,Lars Mytting
46835417,,Løg trækker tårer,Dorrit Willumsen
47039142,,Velsmurt hjerne,"Martin Kreutzer,Simon Weisdorf"
51740653,,Italiensvej,Anna Grue
61835326,,Den glemte landsby,Lorna Cook (f. 1982-02-23)
38621041,,Slagside,"Jørn Lier Horst,Thomas Enger"
51717783,9788758820446,The selection - udvælgelsen,Kiera Cass
47840686,,Tusind stjerner og dig,Isabelle Broom (f. 1979)
52970601,9788763844147,Stormsøsteren,Lucinda Riley
62027045,,Hvis bare,Vigdis Hjorth
29088926,9788711409091,Titanens forbandelse,Rick Riordan
46152123,,Den rustne verden - flugten fra Danmark,Adam O.
62916001,,Den italienske arv,Sarah Winman
62107162,,Hotel Portofino,J. P. O'Connell
47463572,,Turen går til Kreta,Ida Frederikke Ferdinand
48195431,,Hvem slog bambi ihjel?,Monika Fagerholm
48216129,9788740068702,I lige linje,Anna Grue
51856937,,Nikkis dagbog - historier fra et ik' specielt fedt liv,Rachel Renée Russell
52063531,,Den dag Leopold blev - jaloux,
134136634,,Stærk overgang,Anne Hjernøe
51333020,,Tæl med Mimbo Jimbo,Jakob Martin Strid
29494010,,My får en is,Kirsten Ahlburg
135359874,,Forsoneren,Viveca Sten
28836422,9788711301159,Iqbal Farooq og den sorte Pjerrot,Manu Sareen
52643759,9788711716359,DNA,Yrsa Sigurðardóttir
53258344,9788740040517,Lev mere tænk mindre,Pia Callesen
46512103,,Kun dig,Ninni Schulman
29129983,,En fin tur,Kirsten Ahlburg
53995179,,Macbeth,Jo Nesbø
54225172,,Hajsværdet,Jan Kjær (f. 1971)
27641407,9788702076097,Frække Friderik og andre historier,Ole Lund Kirkegaard
135874841,,Citronbjerget,Eva Tind
46036638,,Kronisk sund,Pia Norup
135306622,,En syerske i New York,Natasha Lester
48039677,9788726433357,Nattelinjen,Inger Gammelgaard Madsen
50623300,,Smertefri fødsel,Anja Bay
51678001,,"Mio, min Mio",Astrid Lindgren
38925792,,Mandela-effekten,Anne Holt (f. 1958-11-16)
48164293,,Lady Sophias elsker,Lisa Kleypas
54651856,,Brudstykker,Karin Slaughter
29310777,9788763821186,Soldater græder ikke,Jesper Nicolaj Christiansen
61756981,9788702324426,Wimpy Kid. 12,Jeff Kinney
54136218,,"Drengen der fik ting i hovedet - ""guld på hjernen""",Kasper Hoff
53559794,,Et skrig til himlen,Lars Kjædegaard
39139227,,Døtrene fra Foxcote Manor,Eve Chase
51785592,,Antiinflammatorisk kost,Martin Kreutzer
47080134,,Lasse-Leif - ferie som i firserne,Mette Finderup
46895657,9788711917060,Sebastians store quiz om dyr,Sebastian Klein
61384014,,Simpel lidenskab,Annie Ernaux
29553165,9788711396216,Røde Orm 1+2,Frans G. Bengtsson
54595565,9788702261875,RobinSamse på Skatteøen,Kim Langer
52405580,,Sommeren jeg mødte dig,Jojo Moyes
54570317,,Her er vi,Oliver Jeffers
52652219,,Harry Potter og Hemmelighedernes Kammer,Joanne K. Rowling
46284267,,Kærlighed og andre trøstepræmier,Jamie Ford
48921574,9788758841847,Ryg mod ryg,Michael Kamp (f. 1974)
46913035,,"Turen går til Andalusien, Murcia & Valencia",Jørgen Laurvig
47370167,9788711919316,Fis eller fakta?,"Nick Caruso,Dani Rabaiotti"
38394495,,Højskolesangbogen,
46485319,,Mænd i min situation,Per Petterson
29841020,,Hvil i fred,Sofie Sarenbrant
50629627,,Forbandede yngel,Anne-Cathrine Riebnitzsky
50730611,,Villads fra Valby har vikar,Anne Sofie Hammer (f. 1972-02-05)
46395956,,"Lev for det halve - og få familieliv, forbrug og arbejde i balance",Nanna Hyldgaard Hansen
61904026,,Det lille hotel i Lobster Bay,Annie Robertson
50618404,,"Tro, håb og gorgonzola",Lars Daneskov
48039626,9788702302295,En flænge i himlen,John Green (f. 1977)
24695700,,Kaptajn Underhyler og kampen mod de hvæsende wc'er,Dav Pilkey
48281907,9788726404647,Sjælerytterne - Jorvik kalder,Helena Dahlgren
53438067,,Lille Virgil og dragen,Ole Lund Kirkegaard
39126133,,Fuglene synger baglæns,Karin Slot Christiansen (f. 1968)
54945124,,Syv sind,Lotte Kaa Andersen
62380632,,Kvinden med den blå stjerne,Pam Jenoff
38950754,,Min fætter er høvding i Samoa,Johannes Langkilde (f. 1977)
46157842,,Havunger,Helle Mogensen (f. 1969)
47862922,,Brande i natten,Michael Connelly
61692177,,Tres kilo solskin,Hallgrímur Helgason
38857266,,Mummum,"Amanda Juul Jensen,Mathilde Munksø Bentsen"
29390274,9788702130508,Dødsspillet,Suzanne Collins
29481873,9788792685469,Lykke-Per,Henrik Pontoppidan
61508414,,Et fængslende kys,Julia Quinn (f. 1970)
38940082,,Forførernes klub,Thomas Rydahl
134128984,,Dit fravær er mørke,Jón Kalman Stefánsson
29150281,,Min mor siger,Stine Pilgaard
61867872,,Dagen er nær,Ninni Schulman
52284562,,Nattergalen,Kristin Hannah
29911347,9788758809465,7. a,Bjarne Reuter
47045657,,Halvmorderen,Håkan Nesser
47545064,,Drengene fra Nickel,Colson Whitehead
38500236,,Dinosaurbanden - svømmekonkurrencen,Lars Mæhle
62243503,,Fartdjævlen,Inger Gammelgaard Madsen
29782792,,Det fortryllede slot,Rosie Banks
61523057,9788758845951,Nikis juleeventyr,"Kristoffer Jacob Andersen,Niki Topgaard"
46496418,9788740832334,Når gode mennesker handler ondt,Dorthe Birkmose
39212161,,Vitello holder vildt meget weekend,Kim Fupz Aakeson
47313155,9788763862004,Villads fra Valby får nye ideer,Anne Sofie Hammer (f. 1972-02-05)
53430201,,Indland,Arne Dahl (f. 1963)
47537363,9788740061031,Tinkas juleeventyr,Flemming Klem
48533442,,Hummerens skjold,Caroline Albertine Minor
28323344,,Den dag Leopold blev bange,
48787398,,Gurli Gris' store billedordbog,
38500198,,Dinosaurbanden - rejsen,Lars Mæhle
38892827,,Strik til sommer,Susie Haumann
54170297,,Motor Mille på maskintur,Motor Mille
47472644,,Antiinflammatorisk kost for begyndere,Elizabeth Nebelong
53383483,,Manden der søgte sin skygge,David Lagercrantz
48137644,,Huset med de blå døre,Alberte Winding
46272862,,Det inderste rum,Jørn Lier Horst
47814731,9788772270289,Pigerne mod drengene,Sofie Boysen
47331102,,Løbeild,Ann Cleeves
38952951,,Skibet fra helvede,"Jesper Clemmensen,Thomas Albrektsen (f. 1989)"
48191037,,Legender fra Odysïa - griskernes hemmelighed,Lakserytteren
05126568,,"Kom nu, Alfons Åberg!",Gunilla Bergström (f. 1942)
47283027,9788711918104,En lykkelig slutning,Maren Uthaug
54862342,,Gurli Gris i legeland,
53232604,,"Anna, Banana - uvenner",Anica Mrose Rissi
50684083,,Kaptajn Underhyler og de radioaktive robo-bokseres rærlige rædselsregime,Dav Pilkey
39075121,,Sobibór,"Lotte Hammer,Søren Hammer"
51088352,9788711333471,360°,
50727009,,Gøgens kalden,Robert Galbraith
52009901,,Kaptajn Underhyler og Turbo-Toilettet 2000's tyranniske hævntogt,Dav Pilkey
45963780,,Den hvide død,Robert Galbraith
62175974,,Bluey - stranden,
47828708,,Efterårssorg,Anders De la Motte
46141636,9788726035360,Drabelige dyr,Line Friis Frederiksen
53322131,9788711780800,Sluk,Imran Rashid
48921566,9788758841854,Ind i stormen,Michael Kamp (f. 1974)
51242343,9788711382622,Man jager et bæst og fanger et menneske,Bent Isager-Nielsen
39533723,,Jeg er hvad jeg husker,Peter Øvig Knudsen
28322968,,Den dag Leopold blev ond,
29753660,,Kaptajn Underhyler og Tippe Tissetrusses titaniske trusler,Dav Pilkey
62727799,,Minder om ham,Colleen Hoover
53133053,,Før natten kommer,Lars Kjædegaard
39471981,9788762523784,Ronaldo,Troels Gollander
