faust_number,isbn,book_title,book_author
52889111,,Hvis der skulle komme et menneske forbi,Thomas Korsgaard (f. 1995)
38617222,,Offermageren,Viveca Sten
47227232,,Sallys far kringler julen,Thomas Brunstrøm
48907431,9788758840925,"Bamser, bomber og brødristere","Kristoffer Jacob Andersen,Niki Topgaard"
27311954,9788702051919,Thomas Winding læser Pippi Langstrømpe,Astrid Lindgren
47934702,,Vitello begynder i skole,Kim Fupz Aakeson
48232124,,Når violerne blomstrer,Sarah Jio
48489613,,Spejlmanden,Lars Kepler
47678749,,Øjet der ser,Jeffrey Archer
48023738,9788726194548,Verdens 100 klammeste dyr,Sebastian Klein
51154355,9788711385388,Den store Prop og Berta bog. 2,Bent Solhof
61860762,,Vittu,Iben Mondrup
39160358,,Undergravet,Lone Theils
46746635,9788763863551,Ternet Ninja. 2,Anders Matthesen
38527061,9788702324129,Wimpy Kid. Bog 1,Jeff Kinney
47303087,,Flunkerne i H.C. Andersens univers,"Joaquín Cera,Juan Carlos Ramis"
39082144,,Døden mellem linjerne,Elly Griffiths
39082713,,Gladiator,Jens Henrik Jensen (f. 1963)
48106404,9788763860130,Skammerens datter,Lene Kaaberbøl
47110173,,Stilleleg,Lone Theils
38656996,,Kvinden i blåt,Elly Griffiths
38762311,,Hvis vi ikke taler om det,Leonora Christina Skov
27303013,9788702048094,Gummi Tarzan,Ole Lund Kirkegaard
62371455,,Nøglen til mord,Anna Grue
46501454,,Søsterklokkerne,Lars Mytting
53518222,9788763855235,Selfie Simon,Susanne Foldberg (f. 1970)
47342856,,Alle blomsterne i Paris,Sarah Jio
51088239,9788711356197,Afsporet,Michael Katz Krefeld
52121914,,Hurra for Lille Frø,Jakob Martin Strid
47039274,,Proxy,Steffen Jacobsen (f. 1956)
48343317,,Den franske fotograf,Natasha Lester
54627971,9788772008530,Bubbi - den talende hund,"Morten Münster (f. 1997),Merlin P. Mann"
53970451,9788763846196,Villads fra Valby,Anne Sofie Hammer (f. 1972-02-05)
28436246,9788702103632,Karius og Baktus,Thorbjørn Egner
47706033,,De udstødte,Elly Griffiths
38808311,,Årene,Annie Ernaux
47189543,,Datteren,Anne B. Ragde
47052319,,Det tavse vidne,Elly Griffiths
52445566,9788711527474,De største fodboldlegender,Christian Mohr Boisen
38600443,,Mørket,Ragnar Jónasson (f. 1976)
38823957,9788792769954,"Vi havde en fest på arbejdet, men så kom Preben -",Rikke Østergaard (f. 1976)
62623357,,Hvor den sidste lygte lyser,Mari Jungstedt
48819443,,Håbets rejsende,Isabel Allende
54472404,,Da Mumbo Jumbo blev kæmpestor,Jakob Martin Strid
46718208,,Ternet Ninja 2,Anders Matthesen
48903495,,Nådesløse kvinder,Camilla Läckberg
48739881,,Margrete I,Anne Lise Marstrand-Jørgensen
47472628,,Pitbull,Anne Mette Hancock
134692383,,Kriger uden maske,Hanne-Vibeke Holst
53310729,9788711757338,Godnathistorier. 1,
46413318,,Mellem himmel og hav,Anna Fredriksson (f. 1966)
54078714,,En dag vil vi grine af det,Thomas Korsgaard (f. 1995)
